Institute Id,Institute Name,City,State,Rank_24,Score_23,Rank_23,TLR_23,RPC_23,GO_23,OI_23,Perception_23,Score_22,Rank_22,TLR_22,RPC_22,GO_22,OI_22,Perception_22,Score_21,Rank_21,TLR_21,RPC_21,GO_21,OI_21,Perception_21,Score_20,Rank_20,TLR_20,RPC_20,GO_20,OI_20,Perception_20,Score_19,Rank_19,TLR_19,RPC_19,GO_19,OI_19,Perception_19,Score_18,Rank_18,TLR_18,RPC_18,GO_18,OI_18,Perception_18,Score_17,Rank_17,TLR_17,RPC_17,GO_17,OI_17,Perception_17,Score_16,Rank_16,TLR_16,RPC_16,GO_16,OI_16,Perception_16
IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,,89.79,1,95.19,96.41,79.89,63.26,100,90.04,1,94.61,97.66,80.42,62.85,100,90.19,1,95.47,96.43,81.92,62.44,100,89.93,1,95.42,94.64,83.9,61.31,100,89.05,1,93.55,92.39,84.36,63.99,100,88.95,1,93.83,91.44,84.91,63.88,100,87.96,1,91.85,92.6,83.78,77.19,81.46,89.41,1,88.26,94.02,81.81,86.11,98
IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,,87.09,2,84.89,94.74,85,67.92,94.07,88.12,2,86.94,96.01,83.42,68.56,96.92,88.96,2,91.76,95.82,80.97,66.39,98.63,88.08,2,90.79,96.15,80.36,64.81,94.46,85.36,2,85.8,96.18,80.32,56.19,90.85,82.18,3,80.83,89.35,81.47,59.72,88.6,81.08,4,79.63,89.47,77.45,71.41,77.24,82.02,4,80.27,91.62,74.72,66.17,98
IR-E-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,,80.74,3,79.12,87.94,81.93,56.89,85.36,83.96,3,87.53,90.82,79.19,57.37,88.7,85.16,3,89.32,92.56,79.71,53.68,92.88,85.08,3,91,93.37,77.6,49.99,92.51,84.4,3,89.12,95.3,76.47,48.17,89.61,84.82,2,89.61,96.04,76.53,44.71,93.48,87.87,2,91.15,94.68,83.64,69.7,84.24,87.66,2,85.93,94.14,84.97,74.84,99
IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,,80.65,4,84.35,80.16,88.99,58.82,76.15,82.56,4,87.95,79.98,89.7,59.47,83.01,83.22,4,86.71,83.13,89.79,55.96,87.05,82.18,4,86.22,82.08,88.44,54.21,85.78,77.57,5,79.07,81.79,82.56,46.61,81.35,75.24,5,78.51,77.15,78.99,41.46,85.89,76.83,5,84.28,77.28,74.29,61.35,73.59,81.07,5,66.08,93.52,85.62,70.59,98
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,,73.76,6,67.27,78.3,84.68,56.04,75.51,78.89,5,79.21,84.6,80.91,53.08,82.63,82.03,5,80.51,88.59,83.01,58.46,88.5,80.56,5,77.32,87.11,83.21,56.62,89.31,79.41,4,73.14,88.2,84.12,57.79,84.14,77.78,4,73.73,84.26,85.65,53.99,78.51,81.93,3,76.03,89.23,88.02,74.11,73.43,83.91,3,76.23,92.68,83.95,78.05,97
IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,,75.64,5,74.55,78.36,88.91,60.42,59.37,76.7,6,75.98,78.11,90.13,63.09,61.36,78.08,6,79.28,78.13,90.74,63.36,63.59,76.29,6,77.21,76.57,89.65,61.71,60.55,74.57,6,75.05,75.9,89.84,58.65,54.61,72.57,6,72.8,72.08,88.9,56.66,56.63,73.1,6,72.3,74.36,88.31,70.95,43.47,78.68,6,67.83,83.5,81.61,76.59,96
IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,,70.32,7,67.7,74.99,85.01,54.95,50.09,72.98,7,75.89,72.89,84.64,56.9,57.15,73.84,7,79.25,70.32,84.63,59.83,60.58,74.9,7,83.04,70.73,83.03,59.13,62.45,70.87,7,82.55,63.6,78.45,58.86,54.49,69.25,7,86.29,61.54,76.51,50.46,45.49,72.3,7,89.29,59.98,77.08,80.11,40.95,74.62,11,71.92,78.66,71.82,65.62,94
IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,,70.28,8,83.86,61.12,75.92,55.95,60.04,68.03,9,80.31,59.89,72.4,54.85,59.96,68.69,8,82.6,56.9,72.54,56.58,66.7,66.44,8,82.51,52.47,71.54,55.98,60.42,63.92,8,78.91,49.18,71.71,56.21,55.38,60.87,9,80.63,44.22,71.03,55.11,36.94,60.24,10,82.6,36.21,71.26,73.75,29.72,77.22,7,76.76,76.83,80.89,63.76,95
IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,,69.71,9,73.73,61.45,78.82,65.86,67.98,69.17,8,76.39,58.44,79.17,64.48,64.38,66.08,9,70,54.63,78.13,61.35,69.32,64.1,9,72.11,50.04,74.71,61.49,63.68,61.62,10,68.36,46.64,72.76,62.2,63.54,60.35,11,66.49,46.44,72.02,60.96,59.69,59.44,11,62,46.27,74.38,75.81,45.04,74.45,12,56.99,80.37,81.5,79.5,92
IR-E-U-0237,National Institute of Technology Karnataka,Surathkal,Karnataka,,65.26,12,72.8,56.09,77.23,62.95,48.38,66.04,10,72.86,56.42,77.7,63.89,53.24,64.19,10,73.15,50.17,78.62,64.54,50.18,61.3,13,68.93,46.03,78.67,55.24,55.59,55.25,21,59.48,41.31,75.46,50.4,48.85,53.16,21,60.34,38.36,71.27,51.1,41.93,52.87,22,62.53,32.6,73.71,64.28,31.56,68.95,22,60.26,67.86,77.29,70.22,88
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,,62.37,17,66.37,63.59,72.92,57.25,30.85,63.5,14,68.7,65.37,71.17,54.35,36.23,64.07,11,69.29,65.53,73.12,54.62,35.36,62.06,12,64.02,63.12,72.11,55.07,39.78,58.18,15,63.62,59.12,70.03,38.12,35.31,59.24,13,64.7,53.04,74.73,59.99,29.73,52.58,23,57.19,40.14,69.42,67.49,27.52,,,,,,,
IR-E-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,,66.59,11,62.35,75.41,70.39,61.63,50.21,65.53,12,62.54,73.3,69.45,59.27,49.6,63.68,12,61.41,69.7,67.01,59.84,49.73,59.32,15,56.79,64.06,63.07,58.21,46.29,56.46,18,54.65,57.34,63.57,56.69,44.81,57.02,16,54.64,55.4,65.51,59.22,49.93,58.16,13,56.49,54.02,64.91,75.56,44.6,74.4,13,66.95,74.72,77.38,77.11,91
IR-E-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,,63.93,14,75.9,60.88,72.39,59.53,24.73,61.68,16,76.28,56.75,70.38,52.48,24.43,62.56,13,76.22,55.89,71.57,55.76,30.29,62.88,10,79.89,53.31,72.09,57.76,27.15,59.35,13,75.66,49.17,70.18,57.3,21.29,57.95,14,81.42,40.8,69.67,56.16,17.28,57.7,15,83.73,32.72,70.72,75.64,10.64,72,16,86.75,75.78,89.85,39.23,46
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,,63.74,15,61.12,60.02,82.22,56.16,53.31,63.51,13,62.62,57.26,81.72,56.06,55.89,62.1,14,67.4,51.62,79.07,55.8,49.96,62.54,11,72.34,47.77,77.77,56.07,53.49,59.8,11,68.61,45.63,77.36,53.16,47.42,56.62,19,64.43,42.55,77.62,41.66,48.44,,,,,,,,74.39,14,59.08,80.63,96.8,56.73,96
IR-E-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,,59.7,24,72.94,56.31,69,53.66,17.57,61.4,18,76.45,56.98,69.53,54.58,19.95,60.31,15,75.45,54.62,72.56,45.67,21.98,58.7,18,68.13,54.04,74.66,45.17,25.98,59.73,12,67.76,57.3,76.32,49.68,19.77,60.63,10,70.22,58.51,73.21,53.43,20.35,57.97,14,70.35,47.58,74.25,59.54,17.8,,,,,,,
IR-E-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,,61.54,19,76.43,54.55,61.85,65.05,33.77,60.92,19,68.97,58.64,61.4,61.738,41.78,59.67,16,69.63,59.01,59.56,56.68,35.04,57.37,20,65.77,56.76,59,60.07,28.01,,,,,,,,,,,,,,,,,,,,,,58.78,50,57.04,53.42,81.38,65.7,36
IR-E-U-0575,Jadavpur University,Kolkata,West Bengal,,67.04,10,76.89,65.9,76.68,52.81,35.84,65.68,11,71.38,64.42,78.12,52.34,40.97,59.19,17,54.82,60.61,76.88,43,48.82,59.23,17,53.73,62.04,76.45,40.45,51.61,59.09,14,53.4,65.71,74.79,37.83,46.2,59.82,12,58.26,68.5,77.63,29.09,33.49,62.59,9,59.42,71.38,74.96,49.76,33.82,,,,,,,
IR-E-U-0439,Anna University,Chennai,Tamil Nadu,,65.06,13,63.92,74.48,59.95,50.02,65.5,61.41,17,64.33,64.59,57.8,48.87,62.83,58.31,18,66.29,50.06,58.6,50.87,65.95,59.89,14,64.62,54.07,61.5,51.62,68.24,63.12,9,63.17,64.13,63.24,52.66,70.13,67.04,8,64.6,72.08,68.55,52.3,71.04,63.97,8,63.62,67.63,67.99,59.71,50.21,,,,,,,
IR-E-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,,60.51,22,77.27,44.53,71.06,64.93,32.7,59.16,22,81.07,38.79,68.76,63.67,30.87,58.09,19,81.35,34.08,69.1,62.78,33.74,55.95,25,79.11,30.54,70.31,59.24,30.75,52.37,29,76.84,29.22,64.57,60.1,16.27,52.8,22,77.84,29.53,65.29,60.61,14.73,52.93,21,78.92,27.63,62.97,76.06,7.68,74.88,9,89.96,73.56,86.42,60.67,38
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,,62.79,16,73.96,61.71,71.54,59.05,18.85,62.36,15,73.39,59.45,71.8,57.08,24.43,58.02,20,62.21,56.58,72.53,50.72,28.08,59.29,16,64.38,57.82,74.3,47.23,30.48,57.75,16,59.99,56.05,75.71,46.34,31.6,57.05,15,61.82,52.36,78.74,45.76,24.71,58.78,12,64.21,49.22,80.12,68.07,19.23,70.8,19,60.78,75.69,81.49,73.21,74
IR-E-U-0064,Indian Institute of Technology Patna,Patna,Bihar,,55.03,41,56.93,51.4,72.25,56.15,24.73,56.19,33,71.45,47.78,62.39,51.47,27.92,57.38,21,76.49,44.92,63.77,53.22,28.83,55.74,26,78.2,39.24,62.28,51.86,28.57,54.86,22,75.13,39.08,65.02,50.48,25.54,52.37,24,74.43,35.03,65.64,49.3,14.73,54.02,19,74.78,27.7,72.78,72.78,14.35,74.68,10,79.8,68.29,74.13,68.78,93
IR-E-U-0139,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,,61.66,18,82.8,42.85,68.86,66.14,35.84,58.27,23,80.19,39.08,64.63,60.47,35.07,56.86,22,82.1,35.05,57.31,62.64,39.87,56.15,24,83.76,34.55,55.15,57.9,38.26,54.32,24,80.59,31.01,56.26,61.34,34.59,50.45,27,74.18,26.31,59.24,52.64,32.03,50.43,30,79.73,14.41,59.25,75.94,27.54,75.2,8,80.36,72.09,64.91,71.94,96
IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,,61.13,21,72.58,50.86,74.41,57.19,34.99,60,21,73.99,45.7,75.11,54.91,35.77,56.76,23,67.88,39.6,74.47,55.52,40.72,57.76,19,73.38,38.12,74.21,57.81,36.91,53.21,26,68.19,31.77,72.5,54.98,32.17,51.82,25,67.25,31.43,72.38,54.79,22.59,49.47,34,66.94,25.44,68.92,65.85,14.01,67.12,28,58.2,71.82,75.41,61.2,82
IR-E-I-1480,Thapar Institute of Engineering and Technology,Patiala,Punjab,,61.24,20,70.96,61.47,70.6,63.07,10.79,57.18,28,59.52,56.97,71.19,54.55,25.33,56.76,23,64.89,51.54,68.52,56.05,25.35,54.45,29,65.95,47.65,65.69,54.82,17.42,54.73,23,69.51,44.96,67.28,55.65,13.66,56.14,20,69.77,45.75,73.11,56.55,12.01,,,,,,,,67.51,27,49.43,78.7,77.69,64.58,83
IR-E-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,,60.28,23,74.03,40.82,78.62,67.96,33.06,56.66,31,67.13,36.31,76.86,63.72,38.88,56.48,25,68,34.63,77.94,63.52,37.53,56.56,23,71.05,31.3,78.29,63.87,38.04,52.69,28,63.47,28.22,77.01,61.09,36.71,44.3,50,55.17,26.58,60.6,41.85,34.67,44.5,44,53.28,21.15,60.77,73.98,26.25,62.26,35,56.09,71.53,72.03,64.42,40
IR-E-U-0391,Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,,59.52,25,64.17,52.87,78.39,54.37,32.88,56.9,29,60.85,46.28,78.27,54.19,36.91,56.35,26,62.96,39.96,79.57,55.73,39.87,54.39,30,61.95,34.87,77.36,56.26,42.47,53.82,25,63.61,35.15,71.4,54.5,44.67,,,,,,,,,,,,,,,,,,,,,
IR-E-U-0584,Indian Institute of Engineering Science and Technology,Shibpur,West Bengal,,56.12,35,63.46,45.68,71.47,58.91,31.97,54.57,40,60.11,48.02,67.41,48.26,38.23,56.2,27,66.13,47.54,64.47,49.7,42.36,57.14,21,69.57,47.62,63.17,47.92,45.56,56.35,19,73.65,45.77,59.79,47.23,38.39,,,,,,,,,,,,,,,70.35,20A,57.76,83.07,76.07,59.5,87
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,,52.42,47,60.35,37.35,74.14,57.68,24.95,55.11,36,70.09,36.9,70,60.78,29.29,55.71,28,75.09,37.81,66.44,55.62,29.93,56.8,22,77.05,37.17,64.77,56.27,39.56,56.8,17,77.5,37.78,65.03,57.3,34.78,56.89,18,81.45,39.77,64.08,59.02,17.99,54.32,18,79.66,28.87,63.69,76.69,13.5,67.58,26,67.4,75.73,61.06,51.57,85
IR-E-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,,53.91,43,63.94,41.32,74.22,55.8,19.1,55.76,34,67.61,43.31,72.76,57.76,21.61,55.48,29,69.23,42.64,68.37,56.43,26.15,48.39,47,54.76,36.98,64.42,50.22,29.68,46.47,46,52.84,36.16,63.3,46.54,24.63,45.34,47,52.84,36.28,64.9,43.94,12.41,42.56,55,48.09,34.95,50.88,57.93,16.69,65.4,30,49.24,79.62,65.86,66.15,78
IR-E-U-0334,Visvesvaraya National Institute of Technology,Nagpur,Maharashtra,,55.03,42,65.12,47.03,72.77,53.4,14.88,56.62,32,66.39,48.86,75.65,53.15,16.07,54.94,30,66.19,46.05,70.66,53.53,17.84,54.76,27,67.7,45.19,69.73,53.77,15.56,51.27,31,64.81,40.49,65.09,57.66,8.92,49.55,31,63.78,35.85,64.68,56.13,11.2,45.52,42,60.59,21.88,61.04,69.96,15.72,71.29,18,59.98,73.64,69.05,82.7,85
IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,,57.3,31,66.29,61.47,58.28,59.42,13.75,57.73,25,69.95,62.19,55.67,57.33,12.19,54.87,31,68.46,57.24,52.38,56.94,9.87,53.09,32,71.22,50.11,51.01,56.94,8.05,49.03,35,69.51,41.27,48.29,56.32,5.07,48.66,34,67.99,42.64,47.12,57.87,2.6,,,,,,,,,,,,,,
IR-E-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,,58.92,27,76.52,44.14,65.46,72.19,24.07,57.48,27,75.94,40.02,68.72,69.54,19.95,54.77,32,75.76,34.28,70.16,65.14,12.15,52.38,34,74.73,29.41,68.18,64.26,10.7,50.39,32,71.35,26.31,66.43,60.53,17.65,,,,,,,,,,,,,,,,,,,,,
IR-E-U-0108,Jamia Millia Islamia,New Delhi,Delhi,,59.3,26,61.9,59.59,73.2,63.85,18.34,57.51,26,59.54,57.45,73.54,60.94,16.07,54.46,33,60.27,50,72.96,54.71,13.24,54.58,28,63.16,48.11,71.43,58,11.13,53.13,27,64.25,42.18,75.11,50.9,10.88,49.15,32,57.41,39.27,72.13,48.49,8.67,53.7,20,60.01,38.73,80.24,73.39,6.92,60.18,41,47.68,76.73,56.87,47.6,72
IR-E-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,,58.56,28,63.79,60.19,64.99,61.6,22.01,58.02,24,61.2,59.21,67.17,61.76,22.89,54.17,34,60.31,50.91,67.01,60.9,13.24,50.95,41,61.27,41.96,63.57,61.06,11.55,48.95,36,59.85,33.4,63.04,62.18,21.53,,,,,,,,,,,,,,,,,,,,,
IR-E-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,,57.26,32,70.07,59.84,59.12,40.2,24.51,54.7,37,70.9,53.82,57,42.37,16.43,54,35,71.79,50.09,56.66,40.38,20.65,51.39,39,70.58,45.83,56.57,40.89,10.7,47.74,40,69.39,39.46,53.28,32.1,12.14,48.26,35,70.21,38.92,53.95,36.54,10.79,,,,,,,,,,,,,,
IR-E-U-0098,Delhi Technological University,New Delhi,Delhi,,58.34,29,70.44,41.13,74.27,57.03,43.22,55.65,35,68.97,34.77,73.66,56.16,42.38,53.96,36,66.23,31.79,73.63,58.61,39.59,51.99,36,63.36,31.12,73.21,53.07,36.91,49.97,34,60.27,28.07,72.07,53.38,37.22,46.57,41,54.83,29.75,70.78,48.7,21.65,46.19,39,50.95,24.48,72.9,67.16,22.64,,,,,,,
IR-E-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,,55.6,37,65.7,51.26,66.89,59.56,11.7,51.69,46,62.58,46.35,62.2,55.14,10.53,53.95,37,70.69,43.21,62.04,57.79,15.86,52.25,35,71.41,41.69,59.89,54.4,8.95,45.2,53,55.73,38.2,58.34,46.63,6.86,43.88,52,55.37,33.17,58.95,46.61,8.67,,,,,,,,62.14,37,55.13,71.63,74.32,62.16,41
IR-E-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,,56.21,34,74.05,44.14,69.08,57.96,11.4,53.36,41,70.02,40.16,67.29,55.94,12.59,53.22,38,71.47,37.62,67.55,57.06,12.7,51.79,37,73.13,33.81,64.89,56.6,10.7,48.83,38,65.79,31.04,64.66,56.42,12.14,48.74,33,61.27,33.34,64.59,58.93,15.48,,,,,,,,63.77,31A,60.21,65.55,81,58.4,51
IR-E-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,,55.14,39,72.6,42.33,57.28,77.38,14.59,53.06,42,70.26,35.75,58.51,76.96,18.58,53.12,39,69.99,29.98,70.72,76.68,13.24,50.07,42,66.08,25.8,65.8,75.7,17.79,45.94,48,65.59,19.17,61.6,68.5,13.36,44.27,51,58.23,21.63,66.81,63.99,5.51,43.68,47,52.55,14.08,71.82,66.05,27.39,63.4,32,60.63,73.91,83.55,70.31,1
IR-E-U-0255,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,,52.04,48,73.07,24.43,63.41,61.72,39.39,52.37,43,75.78,25.34,62.6,61.97,33.15,52.85,40,77.49,23.18,61.09,65.27,39.01,53.01,33,78.65,24.02,62.88,62.97,33.32,52.12,30,77.52,22.75,61.95,56.2,40.33,52.74,23,78.87,20.76,62.12,60.82,43.47,50.6,28,81.23,14.74,60.24,70.29,27.33,,,,,,,
IR-E-U-0184,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,,56.49,33,62.63,42.48,79.3,66.35,24.73,60.43,20,75.77,44.05,77.55,67.16,22.57,52.58,41,65.95,35.39,69.05,61.66,21.98,54.17,31,70.38,36.8,67.11,64.7,21.26,56,20,78.61,34.57,68.06,65.65,18.72,51.28,26,76.9,30.48,63.07,54.64,9.96,50.6,28,78.98,17.99,66.78,74.26,7.24,70.32,20,85.83,70.35,81.05,47.29,43
IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,,51.89,49,57.14,40.37,77.57,54.78,16.51,51.17,47,59.01,37.98,75.22,52.14,18.23,51.9,42,64.23,34.07,73.63,54.84,21.98,48.24,48,59.71,30.56,69,50.72,22.89,47.49,42,63.13,28.38,65.55,49.49,19.77,44.33,48,52.93,29.68,64.99,46.75,18.67,45.68,41,56,30.32,66.14,56.74,8.82,67.94,23,54.63,72.07,74.08,75.04,82
IR-E-U-0395,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,,58.03,30,80.97,38.23,73.08,64.85,11.7,56.7,30,78.42,34.93,74.41,66.44,11.78,51.56,43,76.38,28.07,62.59,63.34,13.78,46.13,53,67.71,26.19,56.17,59.29,8.05,45.75,50,67.68,23.44,57.02,63.26,6.86,43.4,54,67.83,18.13,56.92,55.85,6.44,40.2,65,68.8,8.51,50.37,60.47,8.9,67.68,25,73.02,66.41,60.71,60.11,86
IR-E-U-0172,National Institute of Technology Kurukshetra,Kurukshetra,Haryana,,49.89,58,54.95,41.2,60.55,54.13,35.17,50.11,50,57.73,43.66,63.35,55.33,14.94,50.59,44,62.2,40.64,62.01,53.66,19.73,51.19,40,63.85,41.64,61.65,54.75,17.42,47.58,41,61.36,36.64,58.47,51.21,13.66,46.29,43,59.2,37.89,60.94,42.36,7.35,41.61,60,52.27,28.6,53.5,58.03,8.53,58.89,48,53.15,64.82,78.28,53.95,41
IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kancheepuram,Tamil Nadu,,52.88,45,67.69,41.08,66.94,53.21,15.43,50.5,48,63.78,37.32,63.41,52.63,22.25,50.2,45,66.95,34.56,61.71,53.48,20.65,49.26,44,66.01,31.1,63.81,53.47,20.25,48.94,37,69.13,28.51,63.63,52.66,16.55,48.1,36,69.98,27.18,58.89,52.41,19.35,,,,,,,,,,,,,,
IR-E-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,,50.68,53,67.76,37.01,59.56,51.4,22.01,49.33,53,66.55,34.54,56.6,50.58,26.21,50.06,46,68.2,34.19,58.24,50.41,26.54,51.42,38,70.07,34.81,58.75,51.57,30.48,50.1,33,66.84,35.8,57.78,52,25.54,51.12,26,71.22,36.61,59.88,51.69,16.21,49.92,31,65.59,29.36,64.22,72.08,13.8,71.8,17,55.39,81.06,82.47,65.5,90
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,,49,65,57.79,40.93,66.01,51.56,10.17,47.61,58,56.53,38.64,65.09,49.87,10.53,49.99,47,64.14,34.39,65.08,56.74,17.35,45.59,54,57.49,31.2,62.46,55.13,9.84,41.88,58,51.01,27.6,60.91,51.3,9.92,42.11,61,52.57,29.06,60.17,45.52,10.37,43.3,50,50.43,28.91,61.07,62.28,10.65,73.13,15,59.02,85.24,78.43,68.81,83
IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,,55.07,40,60.85,54.59,69.77,53.35,11.4,54.63,38,65.48,48,66.8,57.58,14.56,49.57,48,63.11,40.36,61.95,52.73,8.68,48.66,46,61.63,35.41,62.3,51.68,19.21,45.61,51,61.31,29.86,61.71,47.42,11.83,43.09,57,61.32,26.01,62.32,35.65,8.67,42.73,53,61.17,18.43,59.99,58.3,10.17,55.49,65,55.75,58.12,66.08,71.32,12
