Institute Id,Institute Name,City,State,Rank_24,Score_23,Rank_23,TLR_23,RPC_23,GO_23,OI_23,Perception_23,Score_22,Rank_22,TLR_22,RPC_22,GO_22,OI_22,Perception_22,Score_21,Rank_21,TLR_21,RPC_21,GO_21,OI_21,Perception_21,Score_20,Rank_20,TLR_20,RPC_20,GO_20,OI_20,Perception_20,Score_19,Rank_19,TLR_19,RPC_19,GO_19,OI_19,Perception_19,Score_18,Rank_18,TLR_18,RPC_18,GO_18,OI_18,Perception_18,Score_17,Rank_17,TLR_17,RPC_17,GO_17,OI_17,Perception_17,Score_16,Rank_16,TLR_16,RPC_16,GO_16,OI_16,Perception_16
IR-E-U-0374,Dr. B. R. Ambedkar National Institute of Technology,Jalandhar,Punjab,,52.85,46,67.98,36.76,60.85,67.76,24.73,49.45,52,68.15,29.01,59.18,63.99,12.59,49.01,49,67.97,27.72,60.78,63.12,18.32,46.45,52,66.18,25.99,59.76,58.66,9.84,35.01,113,45.07,18.89,58.63,35.09,5.8,38.65,74,55.33,18.26,59.32,42.06,5.04,,,,,,,,59.91,42,46.65,74.56,81.02,61.7,25
IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,,53.69,44,70.94,46.14,57.91,56.43,13.46,51.93,44,70.08,44.81,52.73,56.17,12.99,48.49,50,71.09,38.38,48.62,55.06,4.23,44.7,58,70.69,28.57,44.25,54.5,6.18,45.38,52,70.88,21.8,58.27,56.06,3.19,44.31,49,70.42,17.39,60.09,58.32,1.06,39.64,68,58.15,12.72,54.89,66.69,7.28,57.37,59,49.49,61.9,70.43,60.32,49
IR-E-C-7252,Manipal Institute of Technology,Manipal,Karnataka,,49.62,61,65.74,35.65,54.01,62.25,21.78,48.33,55,67.36,33.36,49.49,62.48,19.61,48.17,51,70.14,28.99,50.15,62.03,21.98,49.06,45,70.32,24.86,54.6,62.23,33.57,47.31,43,68.43,20.68,53.91,62.59,35.31,46.66,39,68.57,18.47,56.93,63.21,28.4,45.38,43,70.66,11.94,59.32,63.31,24.06,61.15,39,62.58,67.06,65.34,61.72,33
IR-E-C-41593,"College of Engineering, Pune",Pune,Maharashtra,,46.89,73,65.5,22.62,66.89,51.62,19.1,44.38,72,62.33,17.11,65.13,51.65,23.51,48.12,52,64.83,22.39,67.83,54.17,29.57,46.79,50,61.94,21.89,67.56,51.85,29.4,45.89,49,58.17,26.17,64.17,51.79,25.77,45.9,45,60.44,23.96,66.29,46.51,26.74,52.14,24,70.56,24.47,70.09,69.81,26.33,69.71,21,58.61,66.4,82.92,74.67,95
IR-E-C-37013,PSG College of Technology,Coimbatore,Tamil Nadu,,49.43,63,64.51,29.98,54.9,47.21,53.86,47.68,57,66.5,24.9,50.81,48.09,52.94,47.91,53,68.57,23.58,48.35,48.89,57.14,47.21,49,69.35,19.73,52.14,48.69,51.77,47.28,44,68.97,17.4,53.37,48.73,58.35,50.31,29,69.82,23.64,55.96,49.87,60.95,49.49,33,66.54,23.64,57.05,62.81,47.48,67.8,24,56.72,64.67,77.3,72.1,94
IR-E-U-0014,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,,50.33,55,56.57,40.6,65,58.36,23.4,46.41,62,49.17,38.58,64,51.01,21.93,47.12,54,50.76,33.07,71.08,51.44,26.15,49.45,43,53.01,36.66,73.92,52.91,24.77,48.73,39,53.08,34.19,73.4,52.49,26.21,,,,,,,,,,,,,,,,,,,,,
IR-E-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,,48.87,66,61.03,44.04,47.51,66.76,11.7,48.56,54,64.87,37.36,46.77,63.38,21.93,46.65,55,59.83,41.05,45.39,63.17,9.87,46.77,51,59.06,31.77,64.14,64.2,2.69,46.07,47,61.42,28.29,62.26,61.93,5.07,47.26,37,56.33,34.48,66.57,62.08,5.04,,,,,,,,,,,,,,
IR-E-U-0458,Kalasalingam Academy of Research and Higher Education,Srivilliputtur,Tamil Nadu,,55.69,36,74.13,36.24,68.5,75.33,13.46,54.62,39,73.6,32.26,64.82,74.34,24.73,46.57,56,64.24,24.41,60.42,65.23,13.78,43.71,60,68.66,18.42,54.26,62.06,5.21,41.26,61,67.6,14.08,53.96,55.7,3.95,36.22,96,59.06,12.3,48.68,47.64,3.09,,,,,,,,,,,,,,
IR-E-U-0249,Visvesvaraya Technological University,Belgaum,Karnataka,,51.38,52,65.94,49.97,52.64,51.94,8.91,50.2,49,72.06,40.88,52.12,52.47,6.54,45.63,57,70.27,31.03,47.84,49.93,6.83,45.37,55,66.34,30.98,53.14,49.19,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-E-U-0297,Defence Institute of Advanced Technology,Pune,Maharashtra,,50.14,57,69.03,41.76,54.06,58.16,2.69,44.62,71,62.13,36.01,53.95,41.34,2.64,45.52,58,67.03,33.73,52.16,45.71,2.87,43.13,63,64.43,32.96,44.38,47.56,2.69,43.29,57,66.68,32.43,41.05,47.69,5.8,41.37,63,70.99,27.72,35.53,43.79,2.6,,,,,,,,,,,,,,
IR-E-U-0619,National Institute of Technology Meghalaya,Shillong,Meghalaya,,47.27,72,67.55,31.37,57.65,55.41,5.22,46.67,60,66.65,27.9,57.7,62.98,4.63,45.37,59,67.63,24.12,55.3,64.22,3.56,43.69,61,66.27,20.64,54.64,59.35,7.59,40.32,67,65.85,18.2,44.33,58.13,4.33,36,98,63.62,11.41,48.19,35.93,2.6,36.21,100,62.02,4.12,48.34,60.6,6.29,57.47,57,73.56,51.98,75.3,38.57,33
IR-E-U-0284,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,,45.9,80,54.03,32.76,65.79,60.68,6.26,44.63,70,54.9,29.822,62.3,59.06,6.54,45.02,60,55.71,28.88,63.97,58.59,9.87,42.17,65,52.55,28.36,64.27,47.33,3.2,40.98,62,53.27,24.05,66.59,40.74,3.95,43.34,55,56.88,23.54,69.57,46.73,6.44,41.25,61,51.97,13.74,71.45,65.33,7.2,,,,,,,
IR-E-U-0747,Chandigarh University,Mohali,Punjab,,55.2,38,75.7,31.04,59.19,79.56,33.77,51.73,45,75.92,24.84,52.44,79.48,30.61,45.01,61,68.9,17.05,46.81,76.33,22.42,38.82,84,64.38,4.74,51.98,74.73,2.16,34.48,117,50.42,3.17,56.81,68.46,2.02,,,,,,,,,,,,,,,,,,,,,
IR-E-U-0017,Jawaharlal Nehru Technological University,Hyderabad,Telangana,,44.75,83,65.91,27.62,49.71,55.17,12.3,42.77,76,65.66,27.4,44.02,53.95,6.54,44.95,62,72.29,27.99,41.03,53.8,12.7,44.97,57,71.72,29.24,40.88,53.9,11.13,47.13,45,71.2,28.65,55.01,49.64,12.14,46.4,42,72.7,27.91,55.73,43.77,6.89,40.45,63,54.92,17.44,63.55,55.51,4.82,,,,,,,
IR-E-U-0105,"Indraprastha Institute of Information Technology, Delhi",New Delhi,Delhi,,46.57,75,51.99,36.68,69.89,47.33,12.59,44.79,69,50.13,34.83,69.3,42.56,11.78,44.85,63,54.79,31.79,68.04,39.39,13.24,45.03,56,55.18,29.8,67.58,41.15,18.86,43.49,55,56.55,24.08,69.36,41.49,12.76,40.69,66,47.47,24.85,70,39.95,9.96,42.55,56,48.55,20.83,70.69,55.41,20.45,,,,,,,
IR-E-U-0092,National Institute of Technology Raipur,Raipur,Chhattisgarh,,47.69,70,55.59,40.36,64.35,55.81,4.51,45.71,65,55.61,34.77,61.22,56.62,7,44.83,64,60.57,28.98,59.26,58.32,2.87,41.58,67,58.88,24.26,56.99,50.7,1.63,39.09,74,56.46,20.11,54.48,49.4,2.81,37.38,81,53.28,16.68,55.99,50.27,1.58,,,,,,,,55.93,63,46.48,62.13,75.15,63.84,31
IR-E-C-1331,M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,,45.99,78,65.79,22.31,61.93,55.66,15.97,45.17,67,66.09,19.82,61.93,55.17,14.94,43.74,65,66.25,16.84,60.05,53.7,14.31,43.74,59,65.53,13.98,62.74,55.31,18.15,40.54,64,62.87,8.61,60.49,56.32,13.66,42.25,60,64.56,13.01,61.42,57.03,9.96,44.35,45,67.06,13.09,65.46,62.97,9.07,63.39,33,40.32,72.19,95.08,66.33,61
IR-E-U-0379,Lovely Professional University,Phagwara,Punjab,,51.47,50,59.64,49.52,49.19,63.51,25.39,49.58,51,65.51,36.85,51.86,67.5,17.52,43.69,66,62.69,25.97,45.82,64.46,14.83,38.44,87,58.12,15.2,48.55,65.11,2.16,34.09,125,53.11,10.08,44.66,61.73,0.41,,,,,,,,,,,,,,,,,,,,,
IR-E-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,,47.93,68,64.41,21.26,72.53,73.04,4.16,47,59,65.21,18.25,69.77,73.14,7,43.64,67,59.29,14.29,67.27,74.92,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-E-U-0147,Pandit Deendayal Petroleum University,Gandhinagar,Gujarat,,,,,,,,,39.64,106,56.47,26.12,54.25,35.49,4.63,43.17,68,70.06,23.25,53.33,42.09,2.87,32.08,177,49.08,11.97,50.34,33.8,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-E-U-0197,National Institute of Technology Srinagar,Srinagar,Jammu and Kashmir,,45.7,82,58.44,26.62,64.89,59.67,12.3,45.52,66,63.2,19.8,64.43,65.87,11.37,42.63,69,65.87,14.29,57.85,63.89,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3,67,50.37,59.18,72.01,60.42,33
IR-E-U-0080,"Punjab Engineering College (Deemed to be University), Chandigarh",Chandigarh,Chandigarh,,,,,,,,,41.05,87,50.67,17.94,65.84,53.66,19.27,42.62,70,55.98,15.24,65.57,55.41,26.15,41.43,68,55.66,14.2,64.1,56.64,19.9,38.42,78,49.83,12.62,61.98,56.49,16.27,39.24,73,50.81,11.57,66.01,64.18,9.1,,,,,,,,61.32,38,62.21,55.58,70.83,55.49,77
IR-E-C-26794,Thiagarajar College of Engineering,Madurai,Tamil Nadu,,,,,,,,,41.1,85,51.94,19.32,59.66,48.59,29.29,42.58,71,56.11,18.65,60.91,50.99,28.83,43.11,64,59.67,18.32,59.11,51.54,27.44,43.38,56,61.68,18.98,56.74,49.23,29.2,46.66,39,62.34,26.64,59.11,46.6,34.91,47.01,37,66.01,26.76,57.78,59,17.18,66.51,29,57.93,75.86,80.94,57.91,63
IR-E-U-0072,National Institute of Technology Patna,Patna,Bihar,,50.16,56,61.49,39.77,70.28,52.28,4.87,46.24,63,60.96,32.77,65.76,42.69,7,42.06,72,54.45,24.3,61.87,50.77,9.87,38.21,92,52.49,16.6,59.09,43.42,13.2,33.58,134,51.95,10.72,49.46,39.9,8.92,,,,,,,,,,,,,,,51.08,87,46.73,52.37,66.9,55.69,37
IR-E-U-0795,Indian Institute of Information Technology Guwahati,Guwahati,Assam,,,,,,,,,39.09,112,237.09,11.48,56.46,59,32.15,41.98,73,64.87,9.13,56.91,53.01,31.01,41.92,66,64.22,6.8,58.52,52.43,36.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-E-C-24004,College of Engineering (A),Visakhapatnam,Andhra Pradesh,,42.32,94,59.16,12.98,72.07,56.81,5.92,42.76,77,61.41,11.74,72.13,56.02,7.91,41.92,74,64.45,9.77,69.23,53.92,4.23,41.36,69,65.32,10.04,63.72,54.35,5.69,41.72,59,65.78,7.41,67.66,55.88,6.51,,,,,,,,,,,,,,,,,,,,,
IR-E-U-0555,Graphic Era University,Dehradun,Uttarakhand,,49.59,62,64.1,32.12,53.76,68.53,31.23,45.87,64,71.05,18.2,48.13,67.28,27.35,41.83,75,64.78,13.64,49.07,60.45,24.53,38.32,89,58.7,12.89,48,58.38,14,35.69,104,59.87,14.68,39.21,54.45,0.41,,,,,,,,,,,,,,,,,,,,,
IR-E-U-0221,International Institute of Information Technology Bangalore,Bengaluru,Karnataka,,46.58,74,67.24,20.86,63.07,58.61,16.78,41.91,81,55.21,16.15,63.61,59.96,17.88,41.64,76,58.9,10.89,63.64,60.93,18.8,43.55,62,59.63,17.63,63.93,57.99,17.79,40.51,65,54.81,14.26,61.96,55.76,18.19,43.2,56,58.67,15.71,69.25,61.28,9.1,,,,,,,,,,,,,,
IR-E-C-1269,R.V. College of Engineering,Bengaluru,Karnataka,,42.22,96,63.55,17.05,57.16,52.04,14.03,40.73,89,61.27,16.36,55.29,50.75,12.99,41.52,77,63.87,14.45,57.01,50.3,15.86,41.02,70,63.06,13.29,59.79,48.3,13.2,40.88,63,63.58,10.81,60.99,50.62,13.06,,,,,,,,43.42,49,69.03,12.13,60.62,54.58,14.86,62.26,35,55.4,65.31,77.86,48.75,76
IR-E-C-36995,Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,,46.03,77,63.67,24.55,64.1,49.95,17.57,44.16,73,62.39,17.13,64.52,50.18,23.82,41.29,78,62.23,10.86,63.26,49.71,17.35,38.83,83,62.69,4.26,63.05,48.54,12.79,35.97,97,57.92,2.29,63.51,46.64,5.44,,,,,,,,,,,,,,,,,,,,,
IR-E-U-0201,Shri Mata Vaishno Devi University,Katra,Jammu and Kashmir,,,,,,,,,40.08,101,61.82,24.29,48.15,44.01,2.12,41.22,79,69.07,20.55,47.85,45.49,2.17,39.68,78,69.41,18.63,41.79,48,1.1,37.32,85,64.84,15.99,45.8,37.52,1.63,36.28,94,65.02,12.58,47.97,34.12,0,,,,,,,,,,,,,,
IR-E-U-0286,"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",Jabalpur,Madhya Pradesh,,42.14,97,44.65,30.48,68.44,56.03,3.06,41.79,82,45.78,28.74,66.45,59.38,2.12,41.17,80,46.17,29.61,61.76,54.06,6.83,39.29,81,45.42,30.89,59.4,43.47,1.63,38.94,75,44.76,28.02,60.95,45.9,3.19,36.42,91,41.04,24.86,59.84,43.74,3.09,39.46,69,45.09,20.91,62.1,69.27,3.13,53.37,77,47.15,62.91,79,54.79,12
IR-E-C-45375,Indian Institute of Food Processing Technology (IIFPT),Thanjavur,Tamil Nadu,,,,,,,,,41.06,86,71.85,14.18,46.47,56.98,2.64,41.13,81,71.85,7.98,52.14,57.56,9.87,40.24,74,70.18,5.41,53.5,58.94,9.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-E-C-33641,"Veermata Jijabai Technological Institute,  (VJTI, Mumbai)",Mumbai,Maharashtra,,,,,,,,,38.29,119,50.23,13.68,63.97,54.46,8.8,41.07,82,60.34,11.62,66.02,53.6,9.28,40.58,71,57.29,11.04,68.16,52.93,11.55,35.64,105,46.15,10.65,68.05,40.99,8.92,36.24,95,49.39,11.82,67.69,37.26,5.97,,,,,,,,52.17,84,32.29,57.85,79.62,59.06,47
IR-E-U-0733,PES University,Bengaluru,Karnataka,,,,,,,,,40.14,100,56.27,14.93,63.78,51.02,9.24,41.06,83,62.28,13.35,60.53,49.36,13.24,37.94,93,57.56,12.2,55.31,49.22,10.27,32.28,149,53.6,11.85,32.32,52.46,9.26,36.86,87,51.56,12.16,54.62,60.91,7.35,37.31,86,52.98,8.51,56.54,58.95,16.59,,,,,,,
IR-E-U-0749,Manipal University Jaipur,Jaipur,Rajasthan,,46.39,76,58.57,33.3,61.23,63.5,2.32,43.83,75,63.54,24.44,56.68,59.53,1.6,40.63,84,65.35,16.65,50.79,58.72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-E-U-0620,National Institute of Technology Goa,Ponda,Goa,,43.28,90,59.25,23.92,56.69,58.46,11.4,40.78,88,54.95,22.51,54.51,58.11,8.36,40.6,85,56.69,21.42,53.53,57.08,7.45,39.93,77,57.39,18.33,52.11,56.77,11.13,37.06,87,59.23,12.79,50.17,48.37,5.8,,,,,,,,,,,,,,,53.65,76,57.7,38.61,66.13,46.27,85
IR-E-U-0207,"National Institute of Technology, Jamshedpur",Jamshedpur,Jharkhand,,,,,,,,,40.71,90,53.43,19.09,67.16,46.77,8.36,40.53,86,56.45,15.62,67.65,45.74,8.07,39.44,79,56.64,12.85,64.87,45.15,11.13,33.8,130,49.66,9.48,61.14,28.02,10.24,,,,,,,,,,,,,,,53.35,78,36.73,67.7,79.14,48.8,31
IR-E-U-0516,Indian Institute of Information Technology Allahabad,Prayagraj (Allahabad),Uttar Pradesh,,43.29,89,45.02,21.94,77.31,53.63,23.85,40.53,93,42.53,18.48,73.98,51.68,22.57,40.28,87,46.57,15.7,72.28,51.74,19.73,37.41,103,42.8,15.69,68.87,44.19,16.69,37.74,82,42.66,16.38,68.86,45.45,17.1,36.59,90,39.58,17.27,67.6,44.05,16.21,,,,,,,,,,,,,,
IR-E-C-6379,Netaji Subhas University of Technology (NSUT),South West,Delhi,,49.68,60,68.96,23.44,75.55,46.27,22.25,42.14,79,52.77,19.49,68.21,44.44,23.2,40.22,88,47.14,22.25,65.82,44.23,18.32,39.97,76,49.6,22.68,62.41,44.55,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-E-U-0078,Panjab University,Chandigarh,Chandigarh,,,,,,,,,40.58,92,40.83,45.39,44.4,46.52,11.78,40.16,89,39.71,42.62,48.4,43.12,14.83,40.44,72,40.82,43.55,51.63,40.27,7.59,43.59,54,41.83,50.63,51.81,44.72,10.24,42.68,59,43.7,45.56,53.84,43.14,8.23,37.44,85,51.52,6.65,60.52,62.62,16.34,,,,,,,
IR-E-C-36926,Kumaraguru College of Technology,Coimbatore,Tamil Nadu,,,,,,,,,39.32,108,59.36,15.32,54.14,45.08,15.69,39.92,90,61.76,15.76,52.48,45.71,15.86,39.24,82,63.11,11.35,54.41,45.37,14.79,38.55,77,61.09,8.59,57.4,45.64,15.99,37.19,82,57.39,7.31,57.61,49.4,13.2,37.74,82,58.07,6.31,58.34,59.69,7.88,58.44,53,57.49,58.03,69.44,70.34,32
IR-E-U-0564,University of Petroleum and Energy Studies,Dehradun,Uttarakhand,,50.63,54,67.45,39.45,46.08,62.74,30.66,46.43,61,65.41,27.85,48.09,62.23,26.21,39.87,91,57.92,20.29,51.01,57.05,4.9,32.51,167,48.86,14.26,39.13,53.15,4.22,32.46,145,44.98,10.08,52.18,52.3,2.81,,,,,,,,,,,,,,,,,,,,,
IR-E-U-0493,National Institute of Technology Agartala,Agratala,Tripura,,43.24,91,54.36,28.21,59.38,59.61,6.26,41.92,80,56.59,25.44,54.19,59.64,5.12,39.86,92,56.96,21.82,48.87,57.71,6.83,39.98,75,57.69,21.55,48.22,55.37,10.27,39.53,70,58.62,20.58,49.02,52.46,7.22,36.36,92,54.42,20.09,46.76,42.46,4.08,,,,,,,,58.63,52,57.4,58.47,75.03,66.24,32
IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu,,43.43,87,59.49,34.78,38.33,65.91,8.91,41.35,84,54.81,31.13,44.91,63.79,2.12,39.84,93,55.8,28.48,38.53,63.61,4.9,37.86,95,57.7,24.09,36.36,59.88,0.55,37.22,86,53.49,25.53,37.45,57.83,2.41,37.73,77,52.36,28.75,38.77,53.83,2.6,,,,,,,,,,,,,,
IR-E-U-0522,Jaypee Institute of Information Technology,Noida,Uttar Pradesh,,,,,,,,,40.5,94,51.63,25.12,59.97,48.68,6.07,39.82,94,53.07,23.11,56.79,49.3,6.83,37.8,96,50.85,19.39,53.38,50.64,9.84,37.87,80,47.52,18.18,56,53.57,15.99,39.88,70,48,21.07,58.39,53.21,21.65,42.63,54,51.11,19.82,64.97,81.02,2.63,56.79,60,45.21,59.86,79.38,69.05,40
IR-E-C-43708,College of Engineering Trivandrum,Thiruvananthapuram,Kerala,,,,,,,,,39.24,110,60.64,12.79,54.11,52.55,11.37,39.4,95,63.85,10.25,53.4,50.16,14.83,38.68,85,59.37,10.39,55.58,49.98,16.31,39.42,71,59.95,8.9,60.96,49.4,16.27,38.29,75,54.94,11.61,60.08,46.18,16.93,36.8,93,49.73,9.47,55.11,62.08,18.11,,,,,,,
IR-E-C-35417,Bharati Vidyapeeth Deemed University College of Engineering,Pune,Maharashtra,,,,,,,,,37.75,131,57.32,3.15,61.89,67.14,5.12,39.39,96,60.35,3.01,62.73,71.58,6.83,37.71,99,54.62,3.35,65.4,66.06,6.18,36.14,93,53.31,3.61,59.38,66.1,5.8,37.01,83,52.34,7.37,59.5,65.63,6.44,40.18,66,59.88,2.45,58.41,72.03,25.99,56.56,61,55.6,34.04,90.52,75.5,50
IR-E-U-0163,The Northcap University,Gurugram,Haryana,,,,,,,,,40.33,96,64.69,14.58,54.88,51.64,4.14,39.23,97,60.36,12.71,56.83,51.32,8.07,36.84,110,54.88,13.94,56.91,48.16,0,34.48,117,54.21,13.5,46.11,49.48,0,,,,,,,,,,,,,,,,,,,,,
IR-E-C-1262,B.M.S. College of Engineering,Bengaluru,Karnataka,,,,,,,,,41.71,83,59.48,15.52,60.73,52.29,18.23,39.13,98,59.62,12.33,54.1,51.93,15.35,40.35,73,62.07,11.92,55.53,52.58,17.79,39.67,69,62,8.01,58.99,53.02,15.71,,,,,,,,42.86,52,68.76,5.48,62.43,68.13,12.85,,,,,,,
IR-E-U-0189,National Institute of Technology Hamirpur,Hamirpur,Himachal Pradesh,,,,,,,,,37.91,128,47.41,23.85,57.26,45.23,5.6,39.09,99,50.19,21.92,58.2,46.54,11.59,37.73,98,45.32,22.62,60.94,45.84,5.69,41.48,60,54.71,23,60.48,52.12,8.59,41.17,64,54.67,22.43,61.63,52.5,4.56,42.02,59,55.11,19.99,62.59,67.66,1.95,58.65,51,41.6,73.08,77.24,63.3,41
IR-E-C-30045,"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,,41.93,100,69.79,5.7,58.27,69.95,6.26,,,,,,,,38.94,100,62.09,5.58,58.89,57.55,11.02,37.94,93,59.49,5.07,58.7,57.65,10.7,36.12,94,54.56,4.24,60.8,53.58,9.59,36.7,89,54.87,6.82,60.98,56.29,3.59,,,,,,,,53.91,74,46.77,56.85,81.69,55.36,23
IR-E-C-1297,Siddaganga Institute of Technology,Tumkur,Karnataka,,,,,,,,,40.24,97,61.64,14.03,55.39,51.19,13.39,38.81,101,59.38,15.43,54.24,49.56,5.55,38.23,91,60.33,13.44,54.58,50.17,1.63,37.98,79,60.4,11.37,56.07,50.84,1.63,37.72,78,64.23,9.26,52.89,48.79,2.09,39.36,72,64.56,5.41,59.89,59.86,4,54.67,70,52.98,51.91,72.17,66.37,30
IR-E-C-36969,Coimbatore Institute of Technology,Coimbatore,Tamil Nadu,,,,,,,,,39.83,104,63.02,11.44,49.69,49.29,26.21,38.74,102,63.99,8.47,43.38,50.51,32.73,38.24,90,64.87,6.88,45.81,48.63,26.86,40.1,68,63.46,9.75,50.95,46.48,32.94,41.59,62,62.94,14.26,50.86,50.64,32.03,43.29,51,62.88,14.72,57.41,68.04,17.42,62.58,34,48.31,62.54,82.91,68.54,74
IR-E-U-0190,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,,,,,,,,,38.01,125,49.11,27.77,45.78,52.78,5.12,38.58,103,55.99,22.73,47.47,54.74,0,36.72,112,53.75,22.22,46.02,47.26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-E-U-0056,Tezpur University,Tezpur,Assam,,,,,,,,,38.12,123,50.33,30.7,44.63,40.88,7.91,38.39,104,49.58,34.26,41.5,41.9,7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-E-U-0460,Karunya Institute of Technology and Sciences,Coimbatore,Tamil Nadu,,,,,,,,,39.43,107,50.77,30.69,43.86,51.16,10.95,38.38,105,52.14,26.57,43.78,51.97,8.07,39.4,80,56.5,20.5,50.75,54.83,6.65,39.37,72,55.46,18.11,49.4,55.47,18.72,39.27,72,53.24,20.03,48.51,55.91,20.02,40.97,62,54.14,20.06,49.83,77.68,9.66,59.29,44,55.1,68.79,60.61,78.6,19
